column_name,description
recovered_material_clauses,"Indicates whether recovered material clauses are applicable to the award or IDV, which can affect compliance."
recovered_material_cls_desc,"Provides a description of the recovered material clauses, offering clarity on sustainability practices."
reference_agency_code,"Represents the code for any reference agency involved in the award or IDV, useful for tracking relationships."
reference_modification_number,"Indicates the modification number for reference purposes, aiding in tracking changes to the award."
reference_piid,"Contains the reference procurement instrument identifier (PIID), which is important for linking related documents."
reveal_date,"Indicates the date when the information was revealed, which is important for tracking transparency and compliance timelines."
research,"Describes any research activities associated with the award or IDV, relevant for understanding the scope of work."
sbc_demonstration_program_code,"Represents the code for the small business demonstration program, useful for program-specific analysis."
sbc_demonstration_program,"Describes the small business demonstration program, providing context for the funding."
sea_transportation,"Indicates whether the award or IDV involves sea transportation, which can affect logistics and compliance."
solicitation_id,"Represents the identifier for the solicitation related to the award or IDV, important for tracking procurement processes."
solicitation_procedures,"Describes the procedures followed for the solicitation, relevant for compliance and transparency."
statry_exptn_to_fair_oprtnty,"Indicates any statutory exceptions to fair opportunity, which can affect procurement decisions."
subcontract_plan,"Describes the subcontracting plan associated with the award or IDV, important for compliance with regulations."
type_of_contract_pricing,"Indicates the pricing structure of the contract, which can influence financial analysis."
tocp_short_description,"Provides a short description of the type of contract pricing, aiding in quick reference."
type_of_fee_for_use_of_service,"Describes the fee structure for the use of services, relevant for financial tracking."
synopsis_waiver_exception,"Indicates whether a synopsis waiver exception applies, which is important for compliance."
transaction_number,"Represents a unique identifier for each transaction, facilitating tracking and analysis."
type_of_idc,"Indicates the type of indefinite delivery contract (IDC) involved, relevant for understanding procurement strategies."
type_of_set_aside,"Describes the type of set-aside applied to the award or IDV, which can affect eligibility and compliance."
ultimate_completion_date,"Indicates the ultimate completion date for the award or IDV, important for tracking project timelines."
ultimate_contract_value,"Represents the total value of the contract, which is crucial for financial analysis and budgeting."
who_can_use,"Describes the entities eligible to use the award or IDV, relevant for understanding access and compliance."
vendor_name,"Indicates the name of the vendor associated with the award or IDV, important for tracking relationships."
vendor_duns_number,"Represents the DUNS number for the vendor, which is essential for identifying the business entity."
vendor_address_line_1,"Contains the first line of the vendor's address, important for contact and correspondence."
vendor_address_line_2,"Provides the second line of the vendor's address, useful for detailed location information."
address_line_3,"Contains additional address information for the vendor, which can aid in accurate delivery."
vendor_address_city,"Indicates the city of the vendor's address, important for geographical identification."
address_state,"Represents the state of the vendor's address, relevant for compliance with regional regulations."
vendor_address_state_name,"Provides the name of the state for the vendor's address, aiding in clarity and identification."
vendor_address_zip_code,"Indicates the zip code for the vendor's address, important for accurate mailing."
vendor_country_code,"Represents the country code for the vendor's address, relevant for international transactions."
vendor_address_country_name,"Provides the name of the country for the vendor's address, aiding in geographical identification."
vendor_phone_number,"Indicates the phone number for the vendor, important for communication and contact purposes."
aiob_flag,"Indicates whether the award or IDV is associated with the All-Inclusive Offerings Bundle, relevant for procurement analysis."
apaob_flag,"Indicates whether the award or IDV is associated with the All-Purpose Acquisition Offerings Bundle, important for understanding procurement strategies."
baob_flag,"Indicates whether the award or IDV is associated with the Bundled Acquisition Offerings Bundle, relevant for compliance and analysis."
educational_institution_flag,"Indicates whether the recipient is an educational institution, relevant for understanding the type of organizations involved."
eight_a_flag,"Indicates participation in the 8(a) Business Development Program, which supports small businesses in federal contracting."
emerging_small_business_flag,"Identifies whether the recipient qualifies as an emerging small business, important for compliance with small business regulations."
very_small_business_flag,"Indicates if the recipient is classified as a very small business, which can affect eligibility for certain programs."
federal_government,"Indicates whether the award or IDV is associated with the federal government, providing context for the funding source."
haob_flag,"Identifies if the recipient is a Historically Underutilized Business, relevant for diversity and inclusion initiatives."
hbcu_flag,"Indicates whether the recipient is a Historically Black College or University, important for understanding funding distribution."
hospital_flag,"Indicates if the recipient is a hospital, which can influence the type of services or programs funded."
hubzone_flag,"Identifies if the recipient is located in a Historically Underutilized Business Zone, relevant for small business contracting."
local_government,"Indicates whether the award or IDV is associated with local government entities, providing context for funding distribution."
minority_institution_flag,"Identifies if the recipient is a minority institution, relevant for diversity and inclusion in funding."
minority_owned_business_flag,"Indicates whether the recipient is a minority-owned business, important for compliance with diversity initiatives."
naob_flag,"Identifies if the recipient is a Native American-owned business, relevant for understanding funding distribution."
nonprofit_organization_flag,"Indicates whether the recipient is a nonprofit organization, which can affect the type of programs funded."
organizational_type,"Describes the type of organization receiving the award or IDV, aiding in categorization and analysis."
saaob_flag,"Indicates if the recipient is a Small and Emerging Business, relevant for small business contracting initiatives."
sdb_flag,"Identifies if the recipient is a Small Disadvantaged Business, important for compliance with federal contracting regulations."
sheltered_workshop_flag,"Indicates whether the recipient operates a sheltered workshop, relevant for understanding the type of services provided."
small_business_flag,"Identifies if the recipient is classified as a small business, which is crucial for compliance with small business regulations."
srdvob_flag,"Indicates if the recipient is a Service-Disabled Veteran-Owned Business, relevant for diversity in federal contracting."
state_government_flag,"Indicates whether the award or IDV is associated with state government entities, providing context for funding distribution."
tribal_government_flag,"Identifies if the recipient is a tribal government, relevant for understanding the type of organizations involved."
veteran_owned_flag,"Indicates whether the recipient is a veteran-owned business, important for compliance with diversity initiatives."
women_owned_flag,"Identifies if the recipient is a women-owned business, relevant for understanding funding distribution and compliance."
wosb_flag,"Indicates if the recipient is a Women-Owned Small Business, important for federal contracting compliance."
jvwosb_flag,"Identifies if the recipient is a Joint Venture Women-Owned Small Business, relevant for understanding funding structures."
edwosb_flag,"Indicates if the recipient is an Economically Disadvantaged Women-Owned Small Business, important for compliance with diversity initiatives."
edjvwosb_flag,"Identifies if the recipient is an Economically Disadvantaged Joint Venture Women-Owned Small Business, relevant for understanding funding structures."
annual_revenue,"Represents the annual revenue of the recipient organization, providing insight into the financial health of the entity."
number_of_employees,"Indicates the total number of employees within the recipient organization, which can help assess the size and capacity of the business."
alaskan_native_corporation,"Indicates whether the recipient is an Alaskan Native Corporation, relevant for understanding the type of organizations involved."
indian_tribe,"Identifies if the recipient is an Indian tribe, important for understanding the diversity of organizations receiving funding."
native_hawaiian_organization,"Indicates whether the recipient is a Native Hawaiian organization, relevant for understanding the type of organizations involved."
tribally_owned,"Identifies if the recipient is a tribally-owned entity, important for understanding the diversity of organizations receiving funding."
firm8a_joint_venture,"Indicates if the recipient is part of a firm 8(a) joint venture, relevant for understanding funding structures."
other_minority_owned,"Identifies if the recipient is classified as another type of minority-owned business, relevant for diversity initiatives."
community_development_corp,"Indicates whether the recipient is a community development corporation, which can affect the type of programs funded."
labor_surplus_area_firm,"Identifies if the recipient is a firm located in a labor surplus area, relevant for understanding economic development initiatives."
federally_funded_r_and_d_corp,"Indicates whether the recipient is a federally funded research and development corporation, important for understanding funding sources."
federal_agency,"Represents the federal agency associated with the award or IDV, providing context for the funding source."
city,"Indicates the city where the recipient is located, which can help in geographic analysis of funding distribution."
county,"Represents the county where the recipient is located, providing additional geographic context for funding distribution."
inter_municipal,"Indicates whether the recipient is involved in inter-municipal agreements, relevant for understanding collaborative efforts."
local_government_owned,"Identifies if the recipient is a local government-owned entity, important for understanding the type of organizations involved."
municipality,"Indicates the municipality associated with the recipient, providing context for geographic analysis."
school_district,"Identifies the school district associated with the recipient, relevant for understanding educational funding."
township,"Indicates the township where the recipient is located, providing additional geographic context for funding distribution."
foreign_government,"Identifies if the recipient is a foreign government, relevant for understanding the diversity of organizations involved."
corp_entity_not_tax_exempt,"Indicates whether the recipient is a corporate entity that is not tax-exempt, important for compliance considerations."
corp_entity_tax_exempt,"Identifies if the recipient is a corporate entity that is tax-exempt, relevant for understanding funding eligibility."
partnership_or_llp,"Indicates whether the entity involved is a partnership or limited liability partnership, relevant for understanding business structure."
sole_propreitorship,"Indicates if the entity is a sole proprietorship, which can influence eligibility for certain programs."
small_agricultural_cooperative,"Identifies if the entity is a small agricultural cooperative, relevant for agricultural funding programs."
international_organization,"Indicates whether the entity is an international organization, which may affect eligibility and compliance."
other,"Captures any additional information that does not fit into the predefined categories, allowing for flexibility in data representation."
architecture_and_engineering,"Indicates if the entity is involved in architecture and engineering services, relevant for specific funding opportunities."
community_corp_owned_firm,"Identifies if the entity is a community corporation-owned firm, which may influence funding eligibility."
construction_firm,"Indicates if the entity is a construction firm, relevant for contracts related to construction projects."
domestic_shelter,"Identifies if the entity provides domestic shelter services, which can be important for social service funding."
foundation,"Indicates if the entity is a foundation, relevant for understanding the source of funding and support."
manufacturer_of_goods,"Identifies if the entity is a manufacturer of goods, which can impact procurement strategies."
research_and_development,"Indicates if the entity is involved in research and development, relevant for funding opportunities in innovation."
service_provider,"Identifies if the entity is a service provider, which can influence the type of contracts awarded."
veterinary_hospital,"Indicates if the entity is a veterinary hospital, relevant for specific health-related funding."
hispanic_servicing_institution,"Identifies if the entity is a Hispanic-serving institution, which may affect eligibility for certain grants."
contracts,"Indicates whether the record pertains to contracts, providing insight into the nature of the funding."
grants,"Indicates whether the record pertains to grants, which can be important for understanding funding distribution."
contracts_grants,"Indicates if the record involves both contracts and grants, relevant for comprehensive funding analysis."
airport_authority,"Identifies if the entity is an airport authority, which may influence funding opportunities related to transportation."
council_of_governments,"Indicates if the entity is a council of governments, relevant for regional funding initiatives."
housing_public_or_tribal,"Identifies if the entity is involved in public or tribal housing, which can impact funding eligibility."
interstate_entity,"Indicates if the entity operates across state lines, relevant for understanding jurisdictional issues."
planning_commission,"Identifies if the entity is a planning commission, which may influence funding for urban development."
port_authority,"Indicates if the entity is a port authority, relevant for funding related to maritime operations."
transit_authority,"Identifies if the entity is a transit authority, which can impact transportation-related funding opportunities."
subchapter_s_corporation,"Indicates if the entity is a Subchapter S corporation, relevant for understanding business structure."
limited_liability_corporation,"Identifies if the entity is a limited liability corporation, which can influence eligibility for certain programs."
foreign_owned_and_located,"Indicates if the entity is foreign-owned and located, which may affect compliance and eligibility."
state_of_incorporation,"Represents the state in which the entity is incorporated, relevant for jurisdictional analysis."
country_of_incorporation,"Indicates the country in which the entity is incorporated, which can impact international funding considerations."
for_profit_organization,"Identifies if the entity is a for-profit organization, relevant for understanding funding dynamics."
other_not_for_profit_org,Indicates if the entity is a not-for-profit organization that does not fit into other specified categories.
land_grant_college_1862,"Identifies if the entity is a land-grant college established in 1862, relevant for educational funding."
land_grant_college_1890,"Indicates if the entity is a land-grant college established in 1890, which may influence funding eligibility."
land_grant_college_1994,"Identifies if the entity is a land-grant college established in 1994, relevant for specific educational programs."
private_university_or_college,"Indicates if the entity is a private university or college, which can impact funding opportunities."
school_of_forestry,"Identifies if the entity is a school of forestry, relevant for environmental and agricultural funding."
higher_learning,"Indicates if the entity is involved in higher learning, which can influence educational funding opportunities."
tribal_college,"Identifies if the entity is a tribal college, relevant for specific funding aimed at indigenous education."
veterinary_college,"Indicates if the entity is a veterinary college, which can impact funding related to animal health and education."
dot_certified_disadv_bus,"Indicates if the entity is a Department of Transportation certified disadvantaged business, relevant for procurement opportunities."
sdb,"Identifies if the entity is a small disadvantaged business, which can influence eligibility for certain programs."
us_government_entity,"Indicates if the entity is a U.S. government entity, relevant for understanding compliance and funding sources."
nhsi_flag,"Indicates whether the entity is flagged as a National Historically Black College or University, which may affect funding eligibility."
ansi_flag,"Identifies if the entity meets ANSI standards, relevant for compliance and quality assurance."
selfcert_hubzone_jointventure,"Indicates if the entity is a self-certified HUBZone joint venture, which can influence eligibility for specific contracts."
place_congressional_district,"Represents the congressional district where the entity is located, useful for political and funding analysis."
vendor_congressional_district,"Indicates the congressional district of the vendor, relevant for understanding regional funding dynamics."
offerors_proposal_number,"Contains the proposal number submitted by the offeror, which is essential for tracking submissions."
pr_number,"Represents the procurement request number, allowing for easy reference to specific procurement actions."
closeout_pr,"Indicates whether the closeout process is related to a particular procurement request, important for tracking completion."
procurement_placement_code,"Represents the code for the placement of procurement actions, useful for analyzing procurement strategies."
solicitation_issue_date,"The date when the solicitation was issued, important for tracking timelines in the procurement process."
advisory_legacy_procurementance_services,"Indicates whether advisory legacy_procurementance services are included, which can affect the scope of the award."
support_services_type_contract,"Describes the type of contract for support services, providing context for the nature of the services provided."
new_tech_patent_rights_clause,"Indicates whether a clause regarding new technology patent rights is included, relevant for intellectual property considerations."
mgmt_reporting_requirements,"Describes the management reporting requirements associated with the award or IDV, important for compliance."
property_financial_reporting,"Indicates whether property financial reporting is required, which can impact financial oversight."
value_engineering_clause,"Indicates the presence of a value engineering clause, which can affect cost-saving measures in contracts."
security_code,"Represents a code related to security requirements, important for compliance with federal regulations."
administrator_code,"Indicates the code for the administrator overseeing the award or IDV, useful for accountability."
contracting_officer_code,"Represents the code for the contracting officer responsible for the award, important for procurement oversight."
negotiator_code,"Indicates the code for the negotiator involved in the award process, relevant for tracking negotiations."
cotr_name,"The name of the Contracting Officer's Technical Representative, providing a point of contact for technical oversight."
alternate_cotr_name,"The name of an alternate COTR, ensuring continuity in oversight and communication."
organization_code,"Represents the code for the organization involved in the award or IDV, facilitating organizational analysis."
contract_fund_code,"Indicates the code for the funding source of the contract, important for financial tracking."
is_physically_complete,"Indicates whether the project or service is physically complete, relevant for project management."
physical_completion_date,"The date when physical completion was achieved, important for tracking project timelines."
installaion_unique,"Represents a unique identifier for the installation, aiding in tracking specific projects."
funded_through_date,"The date through which funding is available, important for financial planning and management."
cancellation_date,"Indicates the date when the award or IDV was canceled, relevant for tracking project status."
principal_inv_first_name,"The first name of the principal investigator, providing a point of contact for the award."
principal_inv_middle_initial,"The middle initial of the principal investigator, useful for identifying individuals."
principal_inv_last_name,"The last name of the principal investigator, completing the identification of the individual."
alt_principal_inv_first_name,"The first name of an alternate principal investigator, providing additional contact options."
alt_principal_inv_mi_initial,"The middle initial of the alternate principal investigator, useful for identification."
alt_principal_inv_last_name,"The last name of the alternate principal investigator, completing their identification."
field_of_science_or_engg,"Indicates the field of science or engineering relevant to the award or IDV, useful for categorization."
final_invoice_paid_date,"The date when the final invoice was paid, important for financial closure of the award."
accession_number,"Represents a unique accession number for tracking purposes, aiding in record management."
destroy_date,"Indicates the date when records are scheduled for destruction, relevant for compliance with retention policies."
acctng_installation_number,"Represents the accounting installation number, important for financial tracking."
other_statutory_authority,"Indicates any other statutory authority under which the award or IDV is issued, relevant for legal compliance."
ad_none,"Indicates the absence of any advisory requirements, useful for understanding compliance obligations."
ad_blanket_delegation,"Indicates whether blanket delegation is applicable, which can affect procurement processes."
ad_post_award_audit,"Indicates whether a post-award audit is required, important for financial oversight."
ad_security,"Indicates whether security requirements are applicable, relevant for compliance with federal regulations."
ad_cost_accounting_standards,"Indicates whether cost accounting standards apply, important for financial management."
ad_property_administration,"Indicates whether property administration requirements are applicable, relevant for asset management."
ad_transportation,"Indicates whether transportation requirements are applicable, which can affect logistics."
ad_quality_insurance,"Indicates whether quality assurance requirements are applicable, important for maintaining standards."
ad_consent_to_subcontract,"Indicates whether consent to subcontract is required, relevant for compliance with contract terms."
ad_closeout,"Indicates whether closeout requirements are applicable, important for project completion."
ad_engg_or_prod_surveillance,"Indicates whether engineering or production surveillance is required, relevant for oversight."
ad_other,"Indicates any other advisory requirements not specified, providing flexibility in compliance tracking."
contractor_name,"The name of the contractor involved in the award or IDV, providing a point of contact for the project."
doing_business_as_name,"Represents the name under which the contractor does business, useful for identification."
national_interest_code,"Indicates the code related to national interest considerations, relevant for compliance and funding priorities."
national_interest_description,"Provides a description of the national interest considerations, offering context for funding decisions."
url_of_program,"Contains the URL for the program associated with the award or IDV, providing a direct link for further information."
extent_competed_description,"Describes the extent of competition for the award or IDV, which is important for assessing procurement fairness."
evaluated_pref_description,"Provides a description of any evaluated preferences applied in the awarding process, relevant for compliance analysis."
reason_not_comp_description,"Details the reasons why competition was not pursued, which can be important for transparency and accountability."
research_description,"Describes any research components associated with the award or IDV, useful for understanding the scope of the funding."
solicitation_proc_description,"Provides a description of the solicitation process used for the award or IDV, relevant for procurement analysis."
fair_opportunity_description,"Describes the fair opportunity provided to potential contractors, which is essential for compliance with procurement regulations."
type_of_set_aside_description,"Indicates the type of set-aside associated with the award or IDV, which can affect eligibility and competition."
version,"Represents the version of the record, useful for tracking changes and updates over time."
created_via,"Indicates the method by which the record was created, providing context for data entry and management."
parent_macom_code,"Represents the code for the parent Major Command (MACOM), which can help in organizational analysis."
place_congressional_state_name,"Indicates the name of the congressional state associated with the award or IDV, relevant for geographic analysis."
department,"Represents the department under which the agency operates, providing context for the funding source."
agency,"Indicates the name of the agency involved in the award or IDV, essential for identifying the responsible organization."
macom_org_id,"A unique identifier for the Major Command (MACOM) organization, facilitating organizational tracking."
macom_org_code,"Represents the code assigned to the Major Command (MACOM) organization, useful for identification purposes."
macom_org_name,"The name of the Major Command (MACOM) organization, providing context for the funding and organizational structure."
subcom1_org_id,"A unique identifier for the first subordinate organization, aiding in hierarchical tracking."
subcom1_org_code,"Represents the code assigned to the first subordinate organization, useful for identification."
subcom1_org_name,"The name of the first subordinate organization, providing context for the funding and organizational structure."
subcom2_org_id,"A unique identifier for the second subordinate organization, facilitating hierarchical tracking."
subcom2_org_code,"Represents the code assigned to the second subordinate organization, useful for identification."
subcom2_org_name,"The name of the second subordinate organization, providing context for the funding and organizational structure."
subcom3_org_id,"A unique identifier for the third subordinate organization, aiding in hierarchical tracking."
subcom3_org_code,"Represents the code assigned to the third subordinate organization, useful for identification."
subcom3_org_name,"The name of the third subordinate organization, providing context for the funding and organizational structure."
subcom4_org_id,"A unique identifier for the fourth subordinate organization, facilitating hierarchical tracking."
subcom4_org_code,"Represents the code assigned to the fourth subordinate organization, useful for identification."
subcom4_org_name,"The name of the fourth subordinate organization, providing context for the funding and organizational structure."
hierarchy_start_date,"Indicates the start date of the organizational hierarchy, useful for understanding the timeline of the structure."
hierarchy_end_date,"Indicates the end date of the organizational hierarchy, relevant for tracking changes over time."
function1_dim_id,"A unique identifier for the first function dimension, aiding in categorization and analysis."
function1_dim_desc,"Describes the first function dimension, providing context for the associated data."
function1_dim_val_id,"A unique identifier for the value associated with the first function dimension, facilitating detailed analysis."
function1_dim_val_desc,"Describes the value associated with the first function dimension, providing clarity for analysis."
function2_dim_id,"A unique identifier for the second function dimension, aiding in categorization and analysis."
function2_dim_desc,"Describes the second function dimension, providing context for the associated data."
function2_dim_val_id,"A unique identifier for the value associated with the second function dimension, facilitating detailed analysis."
function2_dim_val_desc,"Describes the value associated with the second function dimension, providing clarity for analysis."
function3_dim_id,"A unique identifier for the third function dimension, aiding in categorization and analysis."
function3_dim_desc,"Describes the third function dimension, providing context for the associated data."
function3_dim_val_id,"A unique identifier for the value associated with the third function dimension, facilitating detailed analysis."
function3_dim_val_desc,"Describes the value associated with the third function dimension, providing clarity for analysis."
func_dim_start_date,"Indicates the start date for the function dimensions, useful for understanding the timeline of the data."
func_dim_end_date,"Indicates the end date for the function dimensions, relevant for tracking changes over time."
id_hierarchy,"Represents the identifier for the hierarchy, aiding in organizational structure analysis."
code_hierarchy,"Contains the code associated with the hierarchy, useful for identification and categorization."
foreign_funding_desc,"Describes any foreign funding associated with the award or IDV, relevant for compliance and analysis."
mfg_organization_type,"Indicates the type of manufacturing organization involved, which can impact eligibility and competition."
mfg_organization_type_desc,"Provides a description of the manufacturing organization type, offering context for the funding."
undefinitized_action_desc,"Provides a description of any undefinitized actions taken, which can be important for tracking contract modifications."
multiyear_contract,"Indicates whether the award or IDV is a multiyear contract, relevant for financial planning and analysis."
multiyear_contract_desc,"Describes the specifics of the multiyear contract, providing additional context for its terms and conditions."
cas_clause_desc,Details the description of the Cost Accounting Standards (CAS) clause applicable to the award or IDV.
pcard_as_payment,"Indicates whether a procurement card (P-card) was used as a payment method, relevant for financial tracking."
